timestamp,ais_distance,ais_bearing,ais_width,ais_length,ai_bearing,imageIndex,y_max_rel,height,height_rel,width,width_rel,vessel_course,mode,match
2020-06-28T17:33:00+00:00,2354.8,263.0,16.0,128.0,268.12,2,55.6,19.0,9.5,19.0,1.1,279.2,open_sea,1
2020-06-28T18:06:00+00:00,984.9,205.7,16.0,128.0,215.27,1,61.5,29.0,14.4,95.0,5.3,257.1,open_sea,1
2020-06-25T06:09:00+00:00,5293.3,82.4,16.0,140.0,87.18,2,52.6,8.0,4.0,14.0,0.8,99.2,open_sea,1
2020-06-25T01:46:00+00:00,3555.2,75.9,28.0,185.0,77.56,3,54.1,12.0,6.0,10.0,0.5,71.3,open_sea,1
2020-06-25T01:46:00+00:00,19032.5,33.4,24.0,180.0,42.9,2,50.6,8.0,4.0,11.0,0.6,71.3,open_sea,1
2020-06-25T01:46:00+00:00,8538.1,19.4,24.0,200.0,30.87,1,50.6,8.0,4.0,22.0,1.2,71.3,open_sea,1
2020-06-25T04:01:00+00:00,5459.2,91.7,32.0,190.0,92.57,4,54.6,12.0,6.0,12.0,0.6,71.9,open_sea,1
2020-07-01T01:52:00+00:00,1475.0,307.2,30.0,210.0,309.25,2,61.481,82.0,7.593,211.0,2.198,328.0,open_sea,1
2020-07-01T01:57:00+00:00,1415.0,302.9,30.0,210.0,306.2,2,58.241,86.0,7.963,234.0,2.438,328.6,open_sea,1
2020-07-01T02:00:00+00:00,3672.3,308.0,30.0,190.0,309.38,2,57.685,29.0,2.685,51.0,0.531,327.6,open_sea,1
2020-07-01T02:00:00+00:00,1400.0,299.9,30.0,210.0,303.8,2,61.852,88.0,8.148,245.0,2.552,327.6,open_sea,1
2020-07-01T02:02:00+00:00,2032.1,288.9,30.0,190.0,290.09,1,66.759,86.0,7.963,381.0,3.969,327.9,open_sea,1
2020-07-01T02:02:00+00:00,1404.7,299.4,30.0,210.0,302.89,2,63.611,96.0,8.889,227.0,2.365,327.9,open_sea,1
2020-07-01T03:51:00+00:00,2145.7,33.6,30.0,210.0,33.04,3,50.556,75.0,6.944,92.0,0.958,38.9,open_sea,1
2020-07-01T13:00:00+00:00,6091.9,272.8,31.0,146.0,284.14,1,48.1,13.0,6.4,16.0,0.8,318.6,open_sea,1
2020-07-01T13:00:00+00:00,10580.6,278.1,30.0,180.0,289.03,1,46.6,7.0,3.4,12.0,0.7,318.6,open_sea,1
2020-07-01T05:01:00+00:00,5060.3,26.5,30.0,210.0,27.86,3,54.6,15.0,7.5,12.0,0.7,18.4,open_sea,1
2020-06-30T03:57:00+00:00,7127.5,235.2,26.0,199.0,237.96,3,52.1,9.0,4.5,17.0,0.9,238.0,open_sea,1
2020-06-30T04:01:00+00:00,7447.4,244.5,26.0,199.0,245.32,3,53.1,10.0,5.0,14.0,0.7,237.8,open_sea,1
2020-06-30T04:07:00+00:00,8224.1,257.8,26.0,199.0,258.14,4,54.1,10.0,5.0,14.0,0.8,238.4,open_sea,1
2020-06-28T16:58:00+00:00,1257.5,240.6,32.0,183.0,251.03,2,61.5,28.0,13.9,96.0,5.3,280.1,open_sea,1
2020-06-28T18:03:00+00:00,1078.3,215.4,16.0,128.0,219.14,1,65.556,89.0,8.241,351.0,3.656,257.0,open_sea,1
2020-06-28T17:31:00+00:00,4352.5,224.3,44.0,249.0,229.27,1,63.981,94.0,8.704,165.0,1.719,278.7,open_sea,1
2020-06-28T17:31:00+00:00,2459.7,263.8,16.0,128.0,268.16,2,56.1,16.0,8.0,14.0,0.8,278.7,open_sea,1
2020-06-28T18:03:00+00:00,1078.3,215.4,16.0,128.0,219.14,1,65.556,89.0,8.241,351.0,3.656,257.0,open_sea,1
